Station,Station Name,Station - ST_CEN_CD,Station - DT_CEN_CD,Station - censuscode,Station - RegionId,Scale,Units,2007,2008,2009,2010,2011,2012,2013
IN-JH-KO,Kodarma,20,3,348,IN-JH-KO,units,μg/m3,45.26886151,54.7495119,51.1883053,50.19297749,51.15465941,48.46396032,54.51619242
IN-JH-LA,Latehar,20,14,359,IN-JH-LA,units,μg/m3,38.81004239,44.58539065,42.68484423,39.78625935,42.65296071,40.26858737,43.65223956
IN-JH-LO,Lohardaga,20,11,356,IN-JH-LO,units,μg/m3,38.6300742,45.09286585,42.69827134,39.39756975,41.99562976,39.28969706,42.29169573
IN-JH-PA,Pakur,20,8,353,IN-JH-PA,units,μg/m3,45.77470531,49.81175287,53.00569369,52.93900924,48.7157965,51.33262242,52.80580666
IN-JH-PU,Palamu,20,13,358,IN-JH-PU,units,μg/m3,42.61676631,49.40567581,48.4035428,44.5002388,46.28377154,43.90334699,49.36382157
IN-JH-PS,Pashchimi Singhbhum,20,23,368,IN-JH-PS,units,μg/m3,38.89321013,45.42017513,42.958054,39.58250992,41.36783183,38.98246806,42.21621748
IN-JH-SI,Simdega,20,22,367,IN-JH-SI,units,μg/m3,37.04489649,46.66616965,42.06941604,37.31893871,40.34314158,37.85958531,41.05394029
IN-JH-SK,Saraikela-kharsawan,20,24,369,IN-JH-SK,units,μg/m3,43.81594931,48.8516725,47.8886069,45.40265899,45.71678537,44.19219959,48.06101256
IN-JH-SA,Sahibganj,20,7,352,IN-JH-SA,units,μg/m3,49.29467296,52.3949366,57.30311452,56.57783329,53.07317509,57.37022644,55.76291762
IN-JH-RI,Ranchi,20,19,364,IN-JH-RI,units,μg/m3,42.36442085,50.23463835,45.91761624,43.39861463,45.28064159,42.89550382,46.66969982
IN-JH-RA,Ramgarh,20,16,361,IN-JH-RA,units,μg/m3,44.48314346,51.68301571,48.27632032,47.11822251,47.87153709,45.98942606,50.60437188
IN-OR-BA,Balangir,21,24,393,IN-OR-BA,units,μg/m3,34.25970374,39.36834391,37.65222793,34.72493795,34.74315666,34.2178867,37.51781889
IN-OR-BH,Bargarh,21,1,370,IN-OR-BH,units,μg/m3,36.65235627,40.85840416,40.62683003,37.22877178,37.81072747,36.84074686,40.5813178
IN-OR-BO,Bauda,21,22,391,IN-OR-BO,units,μg/m3,31.64177743,34.96147448,33.7341594,31.96449395,31.96043985,31.32871474,33.27595786
IN-OR-DE,Debagarh,21,4,373,IN-OR-DE,units,μg/m3,34.43321893,40.0118138,38.45953322,36.01743115,36.71155353,34.78878646,36.65429975
