State,Districts,Annual Allocation - 2006-07,Funds Released - 2006-07,Annual Allocation - 2007-08,Funds Released - 2007-08,Annual Allocation - 2008-09,Funds Released - 2008-09,Annual Allocation - 2009-10,Funds Released - 2009-10,Annual Allocation - 2010-11,Funds Released - 2010-11,Annual Allocation - 2011-12,Funds Released - 2011-12,Annual Allocation - 2012-13,Funds Released - 2012-13,Annual Allocation - 2013-14,Funds Released - 2013-14,Total Funds Released from 2006-07 to 2013-14
Gujarat,Narmada,11.5,0,12.9,0.1,12.9,0,12.9,11.61,12.9,12.9,13.48,13.48,13.48,4.21,16.53,10,52.3
Gujarat,Panchmahal,13.65,0,17.02,0.1,17.02,0,17.02,15.32,17.02,17.02,18.44,18.44,18.44,1.16,22.62,14.72,66.76
Gujarat,Sabar Kantha,15.02,0,19.68,0.1,19.68,0,19.68,17.71,19.68,19.68,21.63,21.63,21.63,21.63,26.53,0,80.75
Gujarat,Total (Development Grant),81.4,0,101.31,0.6,101.31,0,101.31,91.17,101.31,101.31,109.64,109.64,109.64,55.7,134.48,42.87,401.29
Gujarat,Capacity Building ,6,0,6,0,6,6.05,6,5.47,6,1.85,6,0,6,0,6,0,13.37
Gujarat,Grand Total (DG +CB),87.4,0,107.31,0.6,107.31,6.05,107.31,96.64,107.31,103.16,115.64,109.64,115.64,55.7,140.48,42.87,414.66
Haryana,Mahendragarh,11.57,0,13.02,11.82,13.02,10.03,13.02,8.53,13.02,17.51,13.63,13.63,13.63,13.63,16.72,11.66,86.81
Haryana,Sirsa,12.81,0,15.42,13.98,15.42,12.42,15.42,10.82,15.42,20.02,16.52,4,16.52,16.93,20.26,13.59,91.76
Haryana,Total (Development Grant),24.38,0,28.44,25.8,28.44,22.45,28.44,19.35,28.44,37.53,30.15,17.63,30.15,30.56,36.98,25.25,178.57
Haryana,Capacity Building ,2,0,2,0,2,3.23,2,0,2,2,2,1.04,2,1.49,2,1.16,8.92
Haryana,Grand Total (DG +CB),26.38,0,30.44,25.8,30.44,25.68,30.44,19.35,30.44,39.53,32.15,18.67,32.15,32.05,38.98,26.41,187.49
Himachal Pradesh,Chamba,12.85,0,15.53,14.08,15.53,11.66,15.53,13.98,15.53,15.53,16.65,16.65,16.65,14.38,20.43,15.51,101.79
Himachal Pradesh,Sirmaur,11.54,0,12.97,11.77,12.97,9.86,12.97,11.67,12.97,12.97,13.57,4.97,13.57,20.81,16.66,12.28,84.33
Himachal Pradesh,Total (Development Grant),24.39,0,28.5,25.85,28.5,21.52,28.5,25.65,28.5,28.5,30.22,21.62,30.22,35.19,37.09,27.79,186.12
Himachal Pradesh,Capacity Building ,2,0,2,2,2,1.96,2,1.76,2,2,2,2,2,0,2,0,9.72
Himachal Pradesh,Grand Total (DG +CB),26.39,0,30.5,27.85,30.5,23.48,30.5,27.41,30.5,30.5,32.22,23.62,32.22,35.19,39.09,27.79,195.84
Jammu & Kashmir,Doda,0,0,19.97,0.1,19.97,17.97,19.97,0,19.97,17.97,21.99,14.35,13.74,9.15,16.85,0,59.54
Jammu & Kashmir,Kishtwar,0,0,0,0,0,0,0,0,0,0,0,0,16.29,4,19.97,0,4
Jammu & Kashmir,Kupwara,11.46,0,12.82,0.1,12.82,11.05,12.82,0,12.82,11.54,13.39,7.84,13.39,5.14,16.42,9.52,45.19
Jammu & Kashmir,Poonch,11.58,0,13.06,0.1,13.06,11.75,13.06,0,13.06,11.75,13.68,8.21,13.68,10.93,16.78,0,42.74
Jammu & Kashmir,Ramban,0,0,0,0,0,0,0,0,0,0,0,0,11.88,6.3,14.56,10.88,17.18
Jammu & Kashmir,Total (Development Grant),23.04,0,45.85,0.3,45.85,40.77,45.85,0,45.85,41.26,49.06,30.4,68.98,35.52,84.58,20.4,168.65
Jammu & Kashmir,Capacity Building ,3,0,3,0,3,0,3,9,3,0,3,0,5,1.84,5,0,10.84
Jammu & Kashmir,Grand Total (DG +CB),26.04,0,48.85,0.3,48.85,40.77,48.85,9,48.85,41.26,52.06,30.4,73.98,37.36,89.58,20.4,179.49
Jharkhand,Bokaro,13.08,0,15.92,0.1,15.92,14.33,15.92,9.52,15.92,15.92,17.12,12.08,17.12,11.13,21.01,0,63.08
Jharkhand,Chatra,12.21,0,14.27,0.1,14.27,12.84,14.27,7.86,14.27,14.27,15.14,4.95,15.14,7.38,18.57,0,47.4
Jharkhand,Deoghar,12.23,0,14.3,0.1,14.3,12.87,14.3,11.1,14.3,14.3,15.17,12.29,15.17,15.17,18.61,13.35,79.18
Jharkhand,Dhanbad,13.54,0,16.8,0.1,16.8,15.12,16.8,11.78,16.8,16.8,18.17,8.88,18.17,6.97,22.28,0,59.65
Jharkhand,Dumka,13.38,0,16.5,0.1,16.5,14.85,16.5,10.27,16.5,16.5,17.82,11.52,17.82,10.21,21.86,0,63.45
Jharkhand,Garhwa,12.64,0,15.09,0.1,15.09,13.58,15.09,8.23,15.09,15.09,16.12,3.42,16.12,4.9,19.77,0,45.32
Jharkhand,Giridih,13.97,0,17.65,0.1,17.65,15.89,17.65,13.34,17.65,17.65,19.19,7.72,19.19,12.12,23.54,0,66.82
Jharkhand,Godda,12.02,0,13.89,0.1,13.89,12.5,13.89,7.59,13.89,13.89,14.68,6.4,14.68,4.91,18.02,0,45.39
Jharkhand,Gumla,13.44,0,16.65,0.1,16.65,14.98,16.65,11.38,16.65,16.65,17.99,13,17.99,9.87,22.06,0,65.98
Jharkhand,Hazaribagh,14.39,0,18.45,0.1,18.45,16.6,18.45,7.99,18.45,18.45,20.16,6.49,17.6,12.21,21.59,0,61.84
Jharkhand,Jamtara,11.27,0,12.45,0.1,12.45,11.2,12.45,7.4,12.45,12.45,12.95,9.12,12.95,7.91,15.88,13.29,61.47
Jharkhand,Khunti,0,0,0,0,0,0,0,0,0,0,0,0,13.24,0,16.25,0,0
Jharkhand,Koderma,11.47,0,12.84,0.1,12.84,11.56,12.84,9.8,12.84,12.84,13.42,1.57,13.42,3.27,16.46,0,39.14
